Dataset right,,Dataset left,
X,Y,X,Y
1.8004647182119334e-7,4.966019417475731,5.7953133504553e-8,4.975728155339809
1.8522188841040417e-7,4.907766990291265,6.133273163246042e-8,4.868932038834954
1.9054607179632522e-7,4.849514563106799,6.309573444801943e-8,4.820388349514565
1.9326528261662595e-7,4.80097087378641,6.583571226193758e-8,4.703883495145633
1.988206725093307e-7,4.7233009708737885,6.772815277441428e-8,4.616504854368934
2.0453575149074315e-7,4.6650485436893225,7.066929669805679e-8,4.5485436893203905
2.074546037312998e-7,4.626213592233012,7.270067807853829e-8,4.4805825242718464
2.1041510980665112e-7,4.587378640776701,7.585775750291852e-8,4.38349514563107
2.16463469648967e-7,4.5485436893203905,7.80382806346953e-8,4.315533980582527
2.1955253783767505e-7,4.500000000000002,8.142714930301295e-8,4.21844660194175
2.258635520721379e-7,4.451456310679614,8.376776400682925e-8,4.160194174757283
2.2908676527677793e-7,4.393203883495148,8.617565943014302e-8,4.09223300970874
2.3567183985996364e-7,4.334951456310682,8.991789964660124e-8,4.024271844660196
2.4244620170823356e-7,4.276699029126215,9.382264934578696e-8,3.927184466019419
2.4941529186379116e-7,4.2233009708737885,9.929401613666852e-8,3.810679611650487
2.565847077710163e-7,4.160194174757283,1.0360593046256341e-7,3.7330097087378658
2.677270839210625e-7,4.101941747572818,1.1121256211835911e-7,3.6165048543689338
2.754228703338175e-7,4.033980582524274,1.1604204790688476e-7,3.5388349514563124
2.8333987130448474e-7,3.9708737864077692,1.193776641714438e-7,3.5000000000000018
2.9148444562188814e-7,3.9077669902912637,1.2280916236901864e-7,3.4320388349514577
2.9986313485755794e-7,3.8398058252427205,1.2814223889440853e-7,3.364077669902914
3.128849079442704e-7,3.7621359223300987,1.356149887611499e-7,3.2669902912621374
3.2647216092701195e-7,3.694174757281555,1.4557168971355004e-7,3.150485436893205
3.406494501784569e-7,3.6165048543689338,1.5189324541995524e-7,3.101941747572817
3.5544239844948997e-7,3.5485436893203897,1.5848931924611173e-7,3.033980582524273
